DLSOCTVProces
682.000000 684.000000 488.000000 box dimensions in microns
10   10   10	number of tissue points in x,y,z directions
100.	outer bound distance (100. in test case)
10.	max. segment length.  (5. in test case)
5 nodsegm, max. allowed number of segments per node
5078 total number of segments
name type from  to  diam flow HD
408 4 2324 2328  37.200 57737.422  0.4000
412 4 2328 92  37.200 57737.422  0.4000
415 4 30 2331   8.700 -214.508  0.4000
416 6 2331 2332   8.700 -214.508  0.4000
417 6 2332 2333   8.700 -214.508  0.4000
418 6 2333 2334   8.700 -214.508  0.4000
419 6 2334 93   8.700 -214.508  0.4000
420 4 84 94   5.700 -37.143  0.4000
423 4 85 95   8.200 208.257  0.4000
426 4 96 2345  22.200 4689.038  0.4000
433 4 2345 2349  22.200 4689.038  0.4000
437 4 2349 2353  22.200 4689.038  0.4000
441 4 2353 97  22.200 4689.038  0.4000
444 4 96 2358  23.700 -5068.238  0.4000
447 4 2358 11647  23.700 -5068.238  0.4000
448 4 96 98  23.200 379.200  0.4000
452 4 54 99   7.200 -34.630  0.4000
457 4 54 2369   7.200  15.367  0.4000
461 4 2369 100   7.200  15.367  0.4000
464 4 23 90   5.200 -25.208  0.4000
465 4 11919 101   5.200 -72.589  0.4000
469 4 66 102   7.200 1631.211  0.4000
472 4 66 103   6.200 140.554  0.4000
475 4 36 104   4.200 -21.490  0.4000
479 6 36 105  15.200 -2789.147  0.4000
480 4 104 2387   6.200 -69.919  0.4000
485 4 2387 8   6.200 -69.919  0.4000
486 4 8 106   8.700 -76.867  0.4000
492 4 108 107   8.200 -130.509  0.4000
493 4 30 109   7.700 -169.635  0.4000
494 4 84 2398   8.200   9.902  0.4000
500 4 2398 110   8.200   9.902  0.4000
504 4 84 111   8.200  33.381  0.4000
507 4 85 112   6.200 -215.351  0.4000
510 4 113 2410  45.200 -1118.597  0.4000
516 4 11677 2410  45.200 1118.597  0.4000
517 4 52 2415  23.200 901.179  0.4000
521 4 2415 114  23.200 901.179  0.4000
525 4 11932 2423  26.200 -6344.512  0.4000
529 4 2423 11921  26.200 -6344.512  0.4000
530 4 104 2425   7.700  48.429  0.4000
531 6 2425 2426   7.700  48.429  0.4000
533 4 115 2426   7.700 -48.429  0.4000
534 4 67 116   6.200   2.373  0.4000
538 4 67 2432   7.200 -52.077  0.4000
540 6 2432 2433   7.200 -52.077  0.4000
541 6 2433 2434   7.200 -52.077  0.4000
542 4 2434 117   7.200 -52.077  0.4000
544 4 118 119  18.200 2427.929  0.4000
549 6 107 2440   7.200 -597.781  0.4000
550 4 2440 120   7.200 -597.781  0.4000
551 4 107 121   7.200 467.272  0.4000
553 4 110 122  12.200  -9.446  0.4000
554 4 110 123   8.200  19.348  0.4000
560 4 29 61  22.200 6101.793  0.4000
